"Fly Ash (g)",MK (g),"H3PO4 (M)","CA(H2PO4) (M)","KH2PO4 (M)","ADP (M)","Monoaluminum Phosphate (MAP) (M)","Sodium Dihydrogen Phosphate (SDP) (M)","Extra Water (g)",L/S,Al/P Ratio,P/A Ratio,Si/P Ratio,P/Si Ratio,Initial pH,"Curing Time, d","Precalcination Temperature,","Curing Temperature, C","Testing age, d",Compressive Strength_MPa
0,1416.67,6,0,0,0,0,0,0,0.8,0,0,0,0,0,1,0,50,28,19.81
0,1416.67,6,0,0,0,0,0,0,0.8,0,0,0,0,0,1,0,24,28,20.54
0,1416.67,8,0,0,0,0,0,0,0.8,0,0,0,0,0,1,0,50,28,8.34
0,1416.67,8,0,0,0,0,0,0,0.8,0,0,0,0,0,1,0,24,28,8.03
0,1416.67,0,4,0,0,0,0,0,0.8,0,0,0,0,0,1,0,50,28,4.64
0,1416.67,0,4,0,0,0,0,0,0.8,0,0,0,0,0,1,0,50,28,4.91
0,1416.67,0,6,0,0,0,0,0,0.8,0,0,0,0,0,1,0,50,28,10.87
0,1416.67,0,6,0,0,0,0,0,0.8,0,0,0,0,0,1,0,24,28,12.25
0,1416.67,0,0,3,0,0,0,0,0.8,0,0,0,0,0,1,0,50,28,2.97
0,1416.67,0,0,3,0,0,0,0,0.8,0,0,0,0,0,1,0,24,28,1.87
0,1416.67,0,0,4,0,0,0,0,0.8,0,0,0,0,0,1,0,50,28,3.96
0,1416.67,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1,0,24,28,2.57
0,1416.67,0,0,0,4.5,0,0,0,0.8,0,0,0,0,0,1,0,50,28,31.43
0,1416.67,0,0,0,4.5,0,0,0,0.8,0,0,0,0,0,1,0,50,28,31.58
0,1416.67,0,0,0,7,0,0,0,0.8,0,0,0,0,0,1,0,50,28,40.09
0,1494.72,14.61,0,0,0,0,0,202.81,1.1,0,0,2.75,0,1.62,3,0,24,3,2.775
0,1469.74,2.11,0,0,0,2.8,0,164.84,0.2,0.1,0,2.75,0,1.64,3,0,24,3,11.25
0,1420.61,14.61,0,0,0,2.8,0,91.92,1.1,0.3,0,2.75,0,1.69,3,0,24,3,16.875
0,1494.72,14.61,0,0,0,0,0,202.81,1.1,0,0,2.75,0,1.62,7,0,24,7,22.4
